TrialRep,Model,AC,TransGen,Extinctions
27,ModelA,Auto,NoTrans,2063
27,ModelB,NoAuto,BothTrans,1581
27,ModelB,NoAuto,NoTrans,2124
27,ModelB,Auto,BothTrans,1235
27,ModelB,Auto,NoTrans,2063
27,ModelA,NoAuto,WaspTrans,2138
27,ModelA,NoAuto,FlyTrans,1581
27,ModelA,Auto,WaspTrans,2063
27,ModelA,Auto,FlyTrans,1235
27,ModelB,NoAuto,WaspTrans,2124
27,ModelB,NoAuto,FlyTrans,1581
27,ModelB,Auto,WaspTrans,2063
27,ModelB,Auto,FlyTrans,1235
28,ModelA,NoAuto,BothTrans,1494
28,ModelA,NoAuto,NoTrans,2373
28,ModelA,Auto,BothTrans,1493
28,ModelA,Auto,NoTrans,2086
28,ModelB,NoAuto,BothTrans,1493
28,ModelB,NoAuto,NoTrans,2372
28,ModelB,Auto,BothTrans,1493
28,ModelB,Auto,NoTrans,2086
28,ModelA,NoAuto,WaspTrans,2373
28,ModelA,NoAuto,FlyTrans,1494
28,ModelA,Auto,WaspTrans,2086
28,ModelA,Auto,FlyTrans,1493
28,ModelB,NoAuto,WaspTrans,2372
28,ModelB,NoAuto,FlyTrans,1493
28,ModelB,Auto,WaspTrans,2086
28,ModelB,Auto,FlyTrans,1493
29,ModelA,NoAuto,BothTrans,1569
29,ModelA,NoAuto,NoTrans,2290
29,ModelA,Auto,BothTrans,201
29,ModelA,Auto,NoTrans,2006
29,ModelB,NoAuto,BothTrans,1514
29,ModelB,NoAuto,NoTrans,2131
29,ModelB,Auto,BothTrans,1264
29,ModelB,Auto,NoTrans,2002
29,ModelA,NoAuto,WaspTrans,2290
29,ModelA,NoAuto,FlyTrans,1569
29,ModelA,Auto,WaspTrans,2006
29,ModelA,Auto,FlyTrans,1264
29,ModelB,NoAuto,WaspTrans,2131
29,ModelB,NoAuto,FlyTrans,1514
29,ModelB,Auto,WaspTrans,2002
29,ModelB,Auto,FlyTrans,1264
30,ModelA,NoAuto,BothTrans,1401
30,ModelA,NoAuto,NoTrans,2315
30,ModelA,Auto,BothTrans,1407
30,ModelA,Auto,NoTrans,2281
30,ModelB,NoAuto,BothTrans,1401
30,ModelB,NoAuto,NoTrans,2310
30,ModelB,Auto,BothTrans,1407
30,ModelB,Auto,NoTrans,2280
30,ModelA,NoAuto,WaspTrans,2315
30,ModelA,NoAuto,FlyTrans,1401
30,ModelA,Auto,WaspTrans,2281
30,ModelA,Auto,FlyTrans,1407
30,ModelB,NoAuto,WaspTrans,2290
30,ModelB,NoAuto,FlyTrans,1401
30,ModelB,Auto,WaspTrans,2280
30,ModelB,Auto,FlyTrans,1407
31,ModelA,NoAuto,BothTrans,1378
31,ModelA,NoAuto,NoTrans,2229
31,ModelA,Auto,BothTrans,818
31,ModelA,Auto,NoTrans,2160
31,ModelB,NoAuto,BothTrans,1320
31,ModelB,NoAuto,NoTrans,2229
31,ModelB,Auto,BothTrans,1325
31,ModelB,Auto,NoTrans,2159
31,ModelA,NoAuto,WaspTrans,2229
31,ModelA,NoAuto,FlyTrans,1378
31,ModelA,Auto,WaspTrans,2160
31,ModelA,Auto,FlyTrans,1325
31,ModelB,NoAuto,WaspTrans,2229
31,ModelB,NoAuto,FlyTrans,1328
31,ModelB,Auto,WaspTrans,2159
31,ModelB,Auto,FlyTrans,1325
32,ModelA,NoAuto,BothTrans,1532
32,ModelA,NoAuto,NoTrans,2333
32,ModelA,Auto,BothTrans,1532
32,ModelA,Auto,NoTrans,1868
32,ModelB,NoAuto,BothTrans,1523
32,ModelB,NoAuto,NoTrans,2333
32,ModelB,Auto,BothTrans,1532
32,ModelB,Auto,NoTrans,1867
32,ModelA,NoAuto,WaspTrans,2333
32,ModelA,NoAuto,FlyTrans,1532
32,ModelA,Auto,WaspTrans,1872
32,ModelA,Auto,FlyTrans,1532
32,ModelB,NoAuto,WaspTrans,2333
32,ModelB,NoAuto,FlyTrans,1523
32,ModelB,Auto,WaspTrans,1867
32,ModelB,Auto,FlyTrans,1532
33,ModelA,NoAuto,BothTrans,1445
33,ModelA,NoAuto,NoTrans,2324
33,ModelA,Auto,BothTrans,1341
33,ModelA,Auto,NoTrans,2250
33,ModelB,NoAuto,BothTrans,1445
33,ModelB,NoAuto,NoTrans,2309
33,ModelB,Auto,BothTrans,1302
33,ModelB,Auto,NoTrans,2249
33,ModelA,NoAuto,WaspTrans,2324
33,ModelA,NoAuto,FlyTrans,1445
33,ModelA,Auto,WaspTrans,2249
33,ModelA,Auto,FlyTrans,1341
33,ModelB,NoAuto,WaspTrans,2309
33,ModelB,NoAuto,FlyTrans,1445
33,ModelB,Auto,WaspTrans,2249
33,ModelB,Auto,FlyTrans,1302
34,ModelA,NoAuto,BothTrans,1562
34,ModelA,NoAuto,NoTrans,2166
34,ModelA,Auto,BothTrans,201
34,ModelA,Auto,NoTrans,2156
34,ModelB,NoAuto,BothTrans,1562
34,ModelB,NoAuto,NoTrans,2162
34,ModelB,Auto,BothTrans,1464
34,ModelB,Auto,NoTrans,2155
34,ModelA,NoAuto,WaspTrans,2166
34,ModelA,NoAuto,FlyTrans,1562
34,ModelA,Auto,WaspTrans,2156
34,ModelA,Auto,FlyTrans,1465
34,ModelB,NoAuto,WaspTrans,2162
34,ModelB,NoAuto,FlyTrans,1562
34,ModelB,Auto,WaspTrans,2155
34,ModelB,Auto,FlyTrans,1464
35,ModelA,NoAuto,BothTrans,1315
35,ModelA,NoAuto,NoTrans,2284
35,ModelA,Auto,BothTrans,243
35,ModelA,Auto,NoTrans,2260
35,ModelB,NoAuto,BothTrans,1315
35,ModelB,NoAuto,NoTrans,2284
35,ModelB,Auto,BothTrans,1317
35,ModelB,Auto,NoTrans,2259
35,ModelA,NoAuto,WaspTrans,2284
35,ModelA,NoAuto,FlyTrans,1315
35,ModelA,Auto,WaspTrans,2260
35,ModelA,Auto,FlyTrans,1318
35,ModelB,NoAuto,WaspTrans,2284
35,ModelB,NoAuto,FlyTrans,1315
35,ModelB,Auto,WaspTrans,2258
35,ModelB,Auto,FlyTrans,1317
36,ModelA,NoAuto,BothTrans,1474
36,ModelA,NoAuto,NoTrans,2270
36,ModelA,Auto,BothTrans,1422
36,ModelA,Auto,NoTrans,1878
36,ModelB,NoAuto,BothTrans,1474
36,ModelB,NoAuto,NoTrans,2267
36,ModelB,Auto,BothTrans,1422
36,ModelB,Auto,NoTrans,1877
36,ModelA,NoAuto,WaspTrans,2270
36,ModelA,NoAuto,FlyTrans,1474
36,ModelA,Auto,WaspTrans,1878
36,ModelA,Auto,FlyTrans,1422
36,ModelB,NoAuto,WaspTrans,2198
36,ModelB,NoAuto,FlyTrans,1474
36,ModelB,Auto,WaspTrans,1876
36,ModelB,Auto,FlyTrans,1422
37,ModelA,NoAuto,BothTrans,1498
37,ModelA,NoAuto,NoTrans,2336
37,ModelA,Auto,BothTrans,277
37,ModelA,Auto,NoTrans,2208
37,ModelB,NoAuto,BothTrans,1497
37,ModelB,NoAuto,NoTrans,2336
37,ModelB,Auto,BothTrans,1167
37,ModelB,Auto,NoTrans,2208
37,ModelA,NoAuto,WaspTrans,2336
37,ModelA,NoAuto,FlyTrans,1498
37,ModelA,Auto,WaspTrans,2208
37,ModelA,Auto,FlyTrans,1498
37,ModelB,NoAuto,WaspTrans,2336
37,ModelB,NoAuto,FlyTrans,1497
37,ModelB,Auto,WaspTrans,2208
37,ModelB,Auto,FlyTrans,1167
38,ModelA,NoAuto,BothTrans,1512
38,ModelA,NoAuto,NoTrans,2343
38,ModelA,Auto,BothTrans,315
38,ModelA,Auto,NoTrans,2015
38,ModelB,NoAuto,BothTrans,1512
38,ModelB,NoAuto,NoTrans,2320
38,ModelB,Auto,BothTrans,1508
38,ModelB,Auto,NoTrans,2014
38,ModelA,NoAuto,WaspTrans,2343
38,ModelA,NoAuto,FlyTrans,1512
38,ModelA,Auto,WaspTrans,2015
38,ModelA,Auto,FlyTrans,1512
38,ModelB,NoAuto,WaspTrans,2320
38,ModelB,NoAuto,FlyTrans,1512
38,ModelB,Auto,WaspTrans,2014
38,ModelB,Auto,FlyTrans,1509
39,ModelA,NoAuto,BothTrans,1520
39,ModelA,NoAuto,NoTrans,2352
39,ModelA,Auto,BothTrans,1567
39,ModelA,Auto,NoTrans,1883
39,ModelB,NoAuto,BothTrans,1520
39,ModelB,NoAuto,NoTrans,2295
39,ModelB,Auto,BothTrans,1566
39,ModelB,Auto,NoTrans,1880
39,ModelA,NoAuto,WaspTrans,2352
39,ModelA,NoAuto,FlyTrans,1520
39,ModelA,Auto,WaspTrans,1881
39,ModelA,Auto,FlyTrans,1567
39,ModelB,NoAuto,WaspTrans,2289
39,ModelB,NoAuto,FlyTrans,1520
39,ModelB,Auto,WaspTrans,1880
39,ModelB,Auto,FlyTrans,1567
40,ModelA,NoAuto,BothTrans,1536
40,ModelA,NoAuto,NoTrans,2268
40,ModelA,Auto,BothTrans,1354
40,ModelA,Auto,NoTrans,2189
40,ModelB,NoAuto,BothTrans,1530
40,ModelB,NoAuto,NoTrans,2268
40,ModelB,Auto,BothTrans,1354
40,ModelB,Auto,NoTrans,2009
40,ModelA,NoAuto,WaspTrans,2268
40,ModelA,NoAuto,FlyTrans,1536
40,ModelA,Auto,WaspTrans,2189
40,ModelA,Auto,FlyTrans,1354
40,ModelB,NoAuto,WaspTrans,2268
40,ModelB,NoAuto,FlyTrans,1535
40,ModelB,Auto,WaspTrans,2009
40,ModelB,Auto,FlyTrans,1354
41,ModelA,NoAuto,BothTrans,1382
41,ModelA,NoAuto,NoTrans,2258
41,ModelA,Auto,BothTrans,1381
41,ModelA,Auto,NoTrans,1979
41,ModelB,NoAuto,BothTrans,1380
